Date,Region,Salesperson,Product,Units_Sold,Unit_Price,Total_Revenue
09-05-2025,West,Kavya,ProductA,16,18,288
03-06-2025,South,Rohan,ProductE,20,45,900
11-04-2025,South,Arjun,ProductB,33,80,2640
25-03-2025,West,Aarav,ProductB,21,63,1323
18-09-2025,East,Kavya,ProductB,34,41,1394
18-11-2025,Central,Arjun,ProductB,36,81,2916
27-04-2025,West,Aarav,ProductB,18,12,216
11-12-2025,South,Meera,ProductC,32,60,1920
10-07-2025,East,Arjun,ProductE,46,84,3864
03-03-2025,South,Rohan,ProductB,23,16,368
01-05-2025,Central,Ishita,ProductC,17,17,289
14-10-2025,North,Arjun,ProductB,36,93,3348
22-11-2025,West,Ishita,ProductC,39,39,1521
23-12-2025,Central,Meera,ProductB,2,25,50
23-12-2025,West,Vihaan,ProcuctD,38,6,228
07-02-2025,East,Meera,ProductA,56,81,4536
03-06-2025,North,Vihaan,ProductB,30,95,2850
25-05-2025,North,Vihaan,ProductB,7,87,609
05-03-2025,South,Rohan,ProcuctD,41,39,1599
19-08-2025,South,Ishita,ProductB,57,85,4845
25-07-2025,Central,Aarav,ProductE,5,31,155
07-08-2025,North,Meera,ProcuctD,42,28,1176
13-06-2025,East,Ishita,ProcuctD,8,74,592
17-02-2025,South,Arjun,ProductB,47,14,658
13-04-2025,South,Rohan,ProductB,4,5,20
26-09-2025,Central,Aarav,ProductB,16,22,352
07-10-2025,South,Meera,ProcuctD,33,27,891
11-06-2025,East,Rohan,ProductC,15,54,810
09-08-2025,West,Vihaan,ProcuctD,46,9,414
02-07-2025,East,Aarav,ProductC,51,34,1734
16-06-2025,Central,Kavya,ProductB,5,7,35
15-03-2025,Central,Arjun,ProductA,45,79,3555
01-02-2025,Central,Aarav,ProcuctD,12,3,36
11-03-2025,North,Meera,ProductA,41,86,3526
19-08-2025,West,Vihaan,ProductC,59,56,3304
04-04-2025,Central,Vihaan,ProductE,53,10,530
15-06-2025,West,Arjun,ProcuctD,18,37,666
01-12-2025,West,Kavya,ProductC,1,14,14
26-07-2025,South,Vihaan,ProcuctD,19,81,1539
24-10-2025,West,Meera,ProcuctD,4,53,212
06-01-2025,Central,Meera,ProductC,25,96,2400
21-04-2025,South,Arjun,ProcuctD,14,54,756
03-10-2025,East,Rohan,ProductC,56,50,2800
21-12-2025,Central,Kavya,ProductC,25,2,50
12-01-2025,West,Aarav,ProcuctD,6,38,228
06-03-2025,South,Vihaan,ProductB,32,44,1408
17-01-2025,West,Arjun,ProductB,54,1,54
11-03-2025,East,Rohan,ProductB,50,55,2750
14-08-2025,Central,Meera,ProductC,24,73,1752
22-09-2025,Central,Meera,ProcuctD,18,41,738
20-04-2025,East,Meera,ProductB,23,86,1978
08-09-2025,North,Meera,ProductA,31,2,62
22-01-2025,West,Kavya,ProductE,1,72,72
23-04-2025,South,Arjun,ProductB,25,7,175
01-05-2025,West,Vihaan,ProductC,15,53,795
12-02-2025,West,Aarav,ProcuctD,36,12,432
20-05-2025,South,Rohan,ProductC,4,29,116
12-04-2025,Central,Rohan,ProcuctD,39,99,3861
21-11-2025,West,Arjun,ProductB,14,17,238
04-06-2025,Central,Arjun,ProcuctD,53,63,3339
15-03-2025,North,Arjun,ProductC,24,40,960
10-03-2025,South,Kavya,ProductA,17,79,1343
08-08-2025,South,Arjun,ProductC,32,31,992
23-10-2025,South,Vihaan,ProductB,59,44,2596
01-09-2025,East,Ishita,ProductB,24,57,1368
16-03-2025,East,Aarav,ProductA,2,61,122
11-03-2025,North,Vihaan,ProductA,53,71,3763
15-02-2025,South,Kavya,ProductC,21,50,1050
25-11-2025,Central,Arjun,ProcuctD,13,71,923
28-11-2025,North,Kavya,ProductC,17,28,476
02-04-2025,North,Rohan,ProductE,14,91,1274
04-05-2025,West,Ishita,ProductA,50,66,3300
14-12-2025,Central,Arjun,ProcuctD,13,46,598
16-08-2025,North,Meera,ProductC,53,20,1060
02-04-2025,North,Vihaan,ProductA,47,29,1363
20-08-2025,East,Arjun,ProductA,42,82,3444
17-06-2025,South,Kavya,ProductA,18,68,1224
26-04-2025,Central,Arjun,ProductC,19,38,722
21-03-2025,Central,Kavya,ProductE,26,13,338
05-05-2025,East,Aarav,ProductB,37,24,888
18-12-2025,South,Rohan,ProcuctD,32,54,1728
19-11-2025,North,Vihaan,ProcuctD,1,53,53
26-06-2025,East,Aarav,ProductB,30,68,2040
06-03-2025,West,Arjun,ProductB,54,48,2592
25-09-2025,North,Kavya,ProductA,27,80,2160
07-12-2025,North,Kavya,ProductC,11,62,682
23-10-2025,South,Rohan,ProductB,5,48,240
03-08-2025,North,Meera,ProductB,41,57,2337
09-04-2025,North,Kavya,ProcuctD,18,38,684
26-12-2025,East,Meera,ProductE,28,28,784
05-08-2025,East,Ishita,ProductB,42,28,1176
04-01-2025,North,Meera,ProductA,26,38,988
20-01-2025,North,Kavya,ProductC,58,72,4176
15-01-2025,East,Vihaan,ProductC,31,40,1240
20-01-2025,West,Vihaan,ProductC,7,97,679
01-09-2025,North,Meera,ProcuctD,37,18,666
20-01-2025,West,Arjun,ProcuctD,59,14,826
05-11-2025,Central,Arjun,ProductE,18,51,918
25-07-2025,West,Kavya,ProductB,53,100,5300
26-06-2025,South,Vihaan,ProductB,49,11,539
